STATION NAME,AGENCY,NO. OF PLUGS,TYPE OF CHARGER,ADDRESS,CITY,POSTCODE,BOROUGH,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
NYC FLEET / DOC_ETAYLOR-S,DOC,1,EV Solar Arc Charger,Rikers Is Br Appr,Flushing,11371,Queens,,,,,,,,
NYC FLEET / DOC_FFF-CPT,DOC,2,Level 2 Charger,120 Construction Way,Riker's Island,11105,Queens,,,,,,,,
NYC FLEET / DOC_FLEETMT1A-B,DOC,2,Level 2 Charger,1717 Hazen St.,Riker's Island,11370,Queens,40.789275,-73.884406,401,22,1,,,QN0151
NYC FLEET / DOC_FLEETMT2A-B,DOC,2,Level 2 Charger,1717 Hazen Street,Riker's Island,11370,Queens,40.789275,-73.884406,401,22,1,,,QN0151
NYC FLEET / DOC_FLEETUNIT-1,DOC,2,Level 2 Charger,17-17 Hazen St,Bronx,11474,Bronx,40.789275,-73.884406,401,22,1,,,QN0151
NYC FLEET / DOC_FMRDCOMPLEX,DOC,2,Level 2 Charger,0 Hazen St,Riker's Island,11370,Queens,,,,,,,,
NYC FLEET / DOC_FMRD-WH,DOC,2,Level 2 Charger,Hazen St,Riker's Island,10474,Bronx,,,,,,,,
NYC FLEET / DOC_GRVC-1,DOC,2,Level 2 Charger,09-09 Hazen Street,The Bronx,11370,Queens,40.794577,-73.884162,401,22,1,2096863,2026050040,QN0151
NYC FLEET / DOC_HAZEN16,DOC,2,Level 2 Charger,16-16 Hazen St,East Elmhurst,11370,Bronx,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOC_HAZENDCFC,DOC,1,Level 3 Fast Charger,Hazen St,Riker's Island,10474,Bronx,,,,,,,,
NYC FLEET / DOC_HAZENLOT4,DOC,1,Level 2 Charger,15-15 Hazen St,Bronx,10474,Bronx,40.790976,-73.884374,401,22,1,2097042,2026050040,QN0151
NYC FLEET / DOC_HAZENLOT-S1,DOC,1,EV Solar Arc Charger,Hazen St,Riker's Island,10474,Bronx,,,,,,,,
NYC FLEET / DOC_HAZENLOT-S2,DOC,1,EV Solar Arc Charger,Hazen St,Riker's Island,10474,Bronx,,,,,,,,
NYC FLEET / DOC_HAZENLOT-S3,DOC,1,EV Solar Arc Charger,Hazen St,Riker's Island,10474,Bronx,,,,,,,,
NYC FLEET / DOC_HAZENLT1A-B,DOC,2,Level 2 Charger,Hazen St,Riker's Island,10474,Bronx,,,,,,,,
NYC FLEET / DOC_HAZENLT2A-B,DOC,2,Level 2 Charger,Hazen St,Riker's Island,10474,Bronx,,,,,,,,
NYC FLEET / DOC_IT_WAREHSE,DOC,2,Level 2 Charger,15B West 5th Street East Elmhurst,Riker's Island,11370,Bronx,,,,,,,,
NYC FLEET / DOC_MCD_IT_1,DOC,2,Level 2 Charger,0 Hazen St,New York,11370,Bronx,,,,,,,,
NYC FLEET / DOC_NIC-1,DOC,2,Level 2 Charger,15-00 Hazen St,Queens,11370,Bronx,40.790985,-73.884396,401,22,1,2116652,2026050040,QN0151
